document_id,title,publish_date,session,authors,ctr,category,tags,views,depth,full_reads_percent
624ac09c9a7947db3d80c98eIDE7mtH4RBqGn-8MXfGffQ,"['европейский', 'банк', 'развитие', 'приостановить', 'доступ', 'москва', 'минск', 'финансы']",2022-04-04 10:29:44,IDE7mtH4RBqGn-8MXfGffQ,[],1.58,5409f11ce063da9c8b588a18,"['55928d339a794751dc8303d6', '542d1e28cbb20f862ac2c1f6', '5409f140e063daa0f408ad1d', '55797e339a794789759c64a1']",20460,1.134,35.85
620f6b899a7947701cf489e1KtVJsteHStO5oditt3Uvzw,"['кремль', 'назвать', 'регулярный', 'процесс', 'учебный', 'запуск', 'баллистический', 'ракета']",2022-02-18 10:00:39,KtVJsteHStO5oditt3Uvzw,"['54244e01cbb20f03076b236d','5878a2ec9a7947e531faf52c']",1.853,5409f11ce063da9c8b588a12,"['549d25df9a794775979561d2', '58abcf539a7947f18bc079eb', '5409f196e063daa0f408ae67']",19038,1.142,38.355
620730cf9a7947ab96a44e27hk7puWJwSziw0m3sfTkKWA,"['госсекретарь', 'швеция', 'заявить', 'нежелание', 'вступать', 'нато', 'изза', 'украина']",2022-02-12 04:24:02,hk7puWJwSziw0m3sfTkKWA,[],0.0,5409f11ce063da9c8b588a12,"['5430f451cbb20f73931ecd05', '5409f15de063daa0f408ada8', '5409f196e063daa0f408ae65']",51151,1.185,36.424
6262a5889a79470b78c9ca307UKY2SSZTjCcjhwBzxw37w,"['песок', 'назвать', 'прагматичный', 'выдача', 'лицензия', 'газпромбанка', 'платеж', 'газ']",2022-04-22 13:24:55,7UKY2SSZTjCcjhwBzxw37w,[],0.0,5409f11ce063da9c8b588a12,"['5409f297e063daa0f408b11c', '545caa9ecbb20f366651641e', '54254853cbb20f240250ba32', '5409f20ee063daa0f408af99', '5409f1afe063daa0f408aeb7']",3782,1.053,30.169
626678929a79477ca0101568wuMYES90REuV5YhrN75IXg,"['хабаровска', 'задержать', 'глава', 'филиал', 'ранхигс', 'обвинение', 'мошенничество']",2022-04-25 10:42:23,wuMYES90REuV5YhrN75IXg,[],0.0,5433e5decbb20f277b20eca9,"['5409f42ae063daa0f408b5d7', '585c20e19a79470efec59e76', '54b904fa9a79473ac6beefe9', '55928d4f9a794751dc830678', '543ec15ecbb20f6e1fde87aa', '5409f14fe063daa0f408ad6b']",3065,1.063,34.617
61f9580f9a794794245a82b9HdvjUgVbRcax7cj-ve1N0Q,"['глава', 'воз', 'заявить', 'рост', 'смертность', 'изза', 'covid', 'большинство', 'часть', 'мир']",2022-02-01 16:40:14,HdvjUgVbRcax7cj-ve1N0Q,[],0.0,5433e5decbb20f277b20eca9,"['5425e055cbb20f23bc9f131d', '5577f72f9a7947f6177effbc', '5489661a2ae5969de17286e8', '56a88f629a7947f5e7e9ce5f']",23513,1.14,36.154
627a5c6f9a79473919928562NNfiRkZcQ5atkhebUrnu0A,"['третий', 'день', 'губернатор', 'объявить', 'уход']",2022-05-10 12:37:37,NNfiRkZcQ5atkhebUrnu0A,[],11.49,5409f11ce063da9c8b588a12,"['58a43d329a794739fedd7225', '54dc84b69a79477970b4fd42']",18013,1.059,36.796
626cdd489a794743d68e7595sV2ku2yISbSzagjLrginBQ,"['губернатор', 'сообщить', 'попытка', 'самолет', 'вес', 'попасть', 'брянский', 'область']",2022-04-30 06:57:29,sV2ku2yISbSzagjLrginBQ,[],8.134,5433e5decbb20f277b20eca9,"['547cab2ccbb20f10e6f78407', '543e6d52cbb20fa8f2813058', '5409f19be063daa0f408ae7a', '54a3bc719a79475cf558319d', '5592b47a9a7947de211fce6e']",40870,1.038,29.638
620407629a79471871388d31dkFlm-iEQYeqM6cd9yIasQ,"['антон', 'заявить', 'межпартийный', 'консенсус', 'сша', 'санкция', 'против', 'россия']",2022-02-09 19:39:13,dkFlm-iEQYeqM6cd9yIasQ,[],0.0,5409f11ce063da9c8b588a12,"['54d510c19a7947184f116809', '58a5cb9c2ae596a9d2b67ee5', '5409f294e063daa0f408b111']",9059,1.135,32.608
620ccc379a7947f24c5ae12062BHNYaBQxuQFf7YBtqlPw,"['опубликовать', 'время', 'вторжение', 'the', 'mirror', 'писать', 'произойти']",2022-02-16 10:11:54,62BHNYaBQxuQFf7YBtqlPw,[],0.0,5409f11ce063da9c8b588a12,"['5883d50f9a7947eac61a7dc5', '5409f17fe063daa0f408ae28', '56f4b2949a794741458a272c']",4923,1.162,54.763
