date;name
2017-01-01;Новый год
2017-01-02;Новый год
2017-01-03;Новый год
2017-01-04;Новый год
2017-01-05;Новый год
2017-01-06;Новый год
2017-01-07;Православное Рождество
2017-01-08;Новый год
2017-02-23;День защитника отечества
2017-03-08;День женщин
2017-05-01;Праздник Весны и Труда
2017-05-09;День Победы
2017-06-12;День России
2017-11-04;День народного единства
2017-12-31;Новый год
2018-01-01;Новый год
2018-01-02;Новый год
2018-01-03;Новый год
2018-01-04;Новый год
2018-01-05;Новый год
2018-01-06;Новый год
2018-01-07;Православное Рождество
2018-01-08;Новый год
2018-02-23;День защитника отечества
2018-03-08;День женщин
2018-05-01;Праздник Весны и Труда
2018-05-09;День Победы
2018-06-12;День России
2018-11-04;День народного единства
2018-12-31;Новый год
2019-01-01;Новый год
2019-01-02;Новый год
2019-01-03;Новый год
2019-01-04;Новый год
2019-01-05;Новый год
2019-01-06;Новый год
2019-01-07;Православное Рождество
2019-01-08;Новый год
2019-02-23;День защитника отечества
2019-03-08;День женщин
2019-05-01;Праздник Весны и Труда
2019-05-09;День Победы
2019-06-12;День России
2019-11-04;День народного единства
2019-12-31;Новый год
2020-01-01;Новый год
2020-01-02;Новый год
2020-01-03;Новый год
2020-01-04;Новый год
2020-01-05;Новый год
2020-01-06;Новый год
2020-01-07;Православное Рождество
2020-01-08;Новый год
2020-02-23;День защитника отечества
2020-03-08;День женщин
2020-05-01;Праздник Весны и Труда
2020-05-09;День Победы
2020-06-12;День России
2020-11-04;День народного единства
2020-12-31;Новый год
2021-01-01;Новый год
2021-01-02;Новый год
2021-01-03;Новый год
2021-01-04;Новый год
2021-01-05;Новый год
2021-01-06;Новый год
2021-01-07;Православное Рождество
2021-01-08;Новый год
2021-02-23;День защитника отечества
2021-03-08;День женщин
2021-05-01;Праздник Весны и Труда
2021-05-09;День Победы
2021-06-12;День России
2021-11-04;День народного единства
2021-12-31;Новый год
2022-01-01;Новый год
2022-01-02;Новый год
2022-01-03;Новый год
2022-01-04;Новый год
2022-01-05;Новый год
2022-01-06;Новый год
2022-01-07;Православное Рождество
2022-01-08;Новый год
2022-02-23;День защитника отечества
2022-03-08;День женщин
2022-05-01;Праздник Весны и Труда
2022-05-09;День Победы
2022-06-12;День России
2022-11-04;День народного единства
2022-12-31;Новый год
2023-01-01;Новый год
2023-01-02;Новый год
2023-01-03;Новый год
2023-01-04;Новый год
2023-01-05;Новый год
2023-01-06;Новый год
2023-01-07;Православное Рождество
2023-01-08;Новый год
2023-02-23;День защитника отечества
2023-03-08;День женщин
2023-05-01;Праздник Весны и Труда
2023-05-09;День Победы
2023-06-12;День России
2023-11-04;День народного единства
2023-12-31;Новый год
2024-01-01;Новый год
2024-01-02;Новый год
2024-01-03;Новый год
2024-01-04;Новый год
2024-01-05;Новый год
2024-01-06;Новый год
2024-01-07;Православное Рождество
2024-01-08;Новый год
2024-02-23;День защитника отечества
2024-03-08;День женщин
2024-05-01;Праздник Весны и Труда
2024-05-09;День Победы
2024-06-12;День России
2024-11-04;День народного единства
2024-12-31;Новый год
2025-01-01;Новый год
2025-01-02;Новый год
2025-01-03;Новый год
2025-01-04;Новый год
2025-01-05;Новый год
2025-01-06;Новый год
2025-01-07;Православное Рождество
2025-01-08;Новый год
2025-02-23;День защитника отечества
2025-03-08;День женщин
2025-05-01;Праздник Весны и Труда
2025-05-09;День Победы
2025-06-12;День России
2025-11-04;День народного единства
2025-12-31;Новый год
