,importance
text_length,0.4973046726230176
depth,0.07889873020505501
ctr,0.05316663200322024
views,0.044092414731745154
hour,0.03740819873670867
Time,0.035574694201794654
minute,0.026727735233064393
curs,0.025244497617404257
day,0.0207913124150961
authors,0.017125207240851585
weekday,0.012347731512340305
category_5409f11ce063da9c8b588a12,0.009913254346584804
category_5433e5decbb20f277b20eca9,0.0033609995078079623
category_5409f11ce063da9c8b588a18,0.0030472586889208828
category_540d5ecacbb20f2524fc050a,0.002739080815746397
tags_5409f15de063daa0f408ada8,0.0027064314971419123
tags_621a3d0c9a794728d449ae5e,0.0022101845493740038
month,0.0018596293160056516
tags_5577f72f9a7947f6177effbc,0.0016284166482396815
tags_5462352bcbb20f235c8efea8,0.0015804811275913844
category_540d5eafcbb20f2524fc0509,0.0014379459261585877
tags_5409f294e063daa0f408b111,0.0014004791597691066
tags_58abcf539a7947f18bc079eb,0.0013532760036688181
tags_5409f15ee063daa0f408adb0,0.0012898865598390602
tags_5409f144e063daa0f408ad26,0.0012566481192578987
tags_55029abd9a79479e1ed1f026,0.0012295144776681584
tags_5409f309e063daa0f408b1dd,0.001162962691668631
tags_545caa9ecbb20f366651641e,0.0010352182976992872
tags_5409f140e063daa0f408ad1d,0.0010138814437624004
tags_543d3460cbb20f079e577c75,0.0010051999634434511
tags_59e769ab9a794784016dbf12,0.0009819276821257745
tags_542498c7cbb20feba0485f3b,0.0009761540971847984
tags_5409f198e063daa0f408ae6b,0.0009516765829693433
tags_5409f196e063daa0f408ae65,0.0009126319573919512
category_5409f11ce063da9c8b588a13,0.0008772005498164553
tags_602550909a7947de72059caa,0.0008368753810719786
date_categ,0.0008141003992460493
tags_54366a01cbb20f810ba70f41,0.0007625747170745361
tags_5409f41de063daa0f408b589,0.0007474897132735924
tags_55110d0e9a79475861c1cbdb,0.0006882262470565045
tags_58fda2219a7947718b2933e1,0.0006570374071453528
tags_5409f15be063daa0f408ad93,0.0006461421774560289
tags_5409f336e063daa0f408b236,0.0006274742981329366
tags_5409f1afe063daa0f408aeb7,0.0006032103946413638
tags_546e40e7cbb20f1d52dbaa55,0.0005684593508483161
tags_5409f168e063daa0f408add3,0.0005539087300811529
tags_5409f1a3e063daa0f408ae98,0.0005535467561712146
tags_5ef9f4d99a79472ee0bd9751,0.0005419226017808517
tags_5409f200e063daa0f408af68,0.000535146895179762
tags_59e99f6b9a7947604263a43e,0.0005331074362873196
tags_5409f1a2e063daa0f408ae94,0.0005313450019522231
tags_56158b559a79475e02a1ce2f,0.0004947102785309824
tags_5409f1f9e063daa0f408af59,0.0004916340656169873
